abrupt@	突然的;意外的
submit@	提交;呈遞;使服從
substitute@	用...代替;代替
summon@	召喚
supervise@	監督;管理;指導
suppress@	鎮壓;壓制;抑制
surge@	(海浪)洶湧;激增
suspend@	使中止
sustain@	支撐;承受
swamp@	使陷入沼澤;淹沒;使陷入困境
swarm@	成群地移動(或飛行);擠滿
sympathize@	同情;憐憫
tackle@	著手對付(或處理);擒抱並摔倒
tan@	曬成棕褐色;鞣(皮)
tangle@	使糾結;使混亂
tar@	塗焦油於;玷污;污辱
taunt@	辱罵;嘲笑;奚落
tempt@	引誘;誘惑
tenant@	租,租賃;居住於
terrace@	使成梯形地
thrill@	使興奮;使激動;使毛骨悚然;顫抖
throng@	擠滿;湧入
thrust@	用力推;刺;插
tick@	發滴答聲;責備
tile@	鋪砌瓦(或瓷磚等)
tilt@	使傾斜;使翹起;偏向
tin@	把...裝罐
tiptoe@	踮著腳
toil@	苦幹;艱難地行進
torch@	如火炬般地燃燒
torment@	使痛苦;折磨;煩擾
torture@	拷打;拷問;折磨
tramp@	腳步沈重地行走;踐踏;流浪
trample@	踩;踐踏;蔑視
trench@	挖溝;挖戰壕
trifle@	戲弄;輕視
trim@	修剪;修整;整理;削減
triple@	使成三倍;三倍於
trot@	(馬等)小跑;(人)慢跑
tuck@	把...塞進;使有褶襉
umpire@	仲裁;當裁判
underline@	劃線於...之下;強調
update@	使...合乎時代;更新
utter@	發出(聲音等);說;講
vacuum@	吸塵
veil@	用帷幕分隔;掩飾;戴面紗
venture@	冒險;大膽行事
veto@	否決;反對
vibrate@	顫動;振動;震動
videotape@	將(節目)錄到帶子上
vow@	發誓要;鄭重宣告
wade@	涉水而行;艱難地前進
wail@	慟哭;(警笛等)尖嘯;哀訴
ward@	避開;擋開
warehouse@	把...存入倉庫
weary@	使疲倦;使厭煩
wharf@	靠碼頭
whine@	發哀鳴聲;發牢騷
whirl@	旋轉;迴旋
whisk@	撢;打(蛋等); 迅速移動
wholesale@	以批發方式
widow@	使成寡婦(或鰥夫)
wither@	枯萎;凋謝
worship@	崇拜;拜神;做禮拜
wring@	絞;擰;緊握
yacht@	駕快艇;乘遊艇
yarn@	講故事;長談
yield@	出產;使屈服;讓路
zip@	以尖嘯聲行進;拉開拉鍊
zoom@	發出嗡嗡聲;將畫面推近或拉遠
astray@	迷路;離開正道
awhile@	片刻
barefoot@	赤著腳地
beforehand@	事先;提前地
bodily@	親身地;以肉體形式;整體地
clockwise@	順時針方向地;右旋地
counterclockwise@	逆時針方向地
downward@	向下;日趨沒落地;(時間)往後推移地
downwards@	向下
foul@	違反規則地;不正當地
hence@	因此;由此
inland@	向內地;向內陸
inward@	向內;向中心
inwards@	向內
jolly@	非常,很
meantime@	其間;同時
nonetheless@	但是;仍然
nowhere@	任何地方都不
outward@	向外;出海,出港
outwards@	向外;出海,出港;顯而易見地
overall@	總的來說;大體上
partly@	部分地
prior@	在前;居先
slap@	砰地;猛然地
solo@	單獨地
tiptoe@	踮著腳
underneath@	在下面;在底下
undoubtedly@	毫無疑問地;肯定地
upright@	挺直地;垂直地;豎著
upward@	向上;在上面;以上;超過
upwards@	向上地,朝上
