abrupt@	突然的;意外的
pollutant@	污染物;污染源
posture@	姿勢;姿態
precedent@	先例;慣例
precision@	精確(性);準確(性);清晰(性)
predecessor@	前任;祖先
prediction@	預言;預報
preface@	序言;緒言
prejudice@	偏見;歧視
preliminary@	初步;初試;預賽
premier@	首相;總理
prescription@	指示;法規;處方
presidency@	公司總裁(大學校長等)的職位
prestige@	名望;聲望
preventive@	預防法;預防措施;預防物
productivity@	生產力;生產率
proficiency@	精通;熟練
progressive@	革新主義者
prohibition@	禁止;禁令
projection@	規劃;投影;投射;預測
propaganda@	宣傳
propeller@	螺旋槳;推進器
prose@	散文;平凡
prosecution@	起訴;告發
provincial@	地方居民;鄉下人
prowl@	四處覓食;徘徊
purity@	純淨;清潔;純潔
qualification@	資格,能力
query@	質問;詢問
questionnaire@	問卷;意見調查表
racism@	種族主義;種族歧視
radiant@	發光(或發熱)的物體,光點
radiation@	放射線
radiator@	散熱器
radical@	根部;基礎;基本原理
raft@	筏子;橡皮艇
raid@	突然襲擊;劫掠
ransom@	贖金
rash@	疹子
ravage@	毀滅;蹂躪;劫掠;災害,災難
realism@	現實性;現實主義
realization@	領悟;體現
rebellion@	反叛;反抗
recession@	衰退
recipient@	接受者
recommendation@	推薦;推薦信
recruit@	新兵;新手;補給品
refinement@	優雅,高雅;提煉,精煉
refreshment@	茶點;精力恢復
refund@	償還;退款
regime@	政體;政權
rehearsal@	排練,試演;練習
rein@	韁繩;駕馭;控制
relay@	轉達;轉播;接力賽跑
reliance@	信任;依賴
relish@	滋味;愛好;開胃食品
remainder@	剩餘物;其餘的人;餘數
removal@	除去;免職
renaissance@	文藝復興
rental@	租金;租賃;出租
resemblance@	相似
reservoir@	蓄水庫;貯水池
restoration@	恢復;復辟;修復;重建;歸還
restraint@	克制;控制;管押
retail@	零售
revelation@	揭示;顯示;天啟
revenue@	(國家的)歲入;稅收
revival@	甦醒;再生;復興
rhetoric@	修辭;修辭學;辭令
ridicule@	嘲笑;揶揄;奚落
riot@	暴亂;騷亂;狂歡
rite@	儀式;慣例
ritual@	儀式;典禮;老規矩
rivalry@	(競爭或對抗)行為
rotation@	旋轉;自轉;輪流
royalty@	(總稱)皇族或王族;王位;專利權稅
ruby@	紅寶石;暗紅色
safeguard@	保護;防衛;預防措施
saloon@	(旅館;輪船等的)大廳;酒館
salvation@	拯救;救星;救世
sanction@	國際制裁
sanctuary@	聖所;聖殿;庇護所
sanitation@	公共衛生;衛生設備
scope@	範圍;領域
script@	筆跡;(戲劇、廣播等的)腳本
sector@	扇形;扇形面部分;部門
seminar@	專題討論(課或會議)
senator@	參議員
sequence@	連續;一連串;次序
serenity@	晴朗;平靜;沈著
serving@	服務;侍候;(食物、飲料等)一份
session@	開庭;會期;講習會
setback@	挫折;倒退
sewer@	污水管;下水道
shed@	分水嶺;小屋;堆房
shilling@	先令
siege@	圍攻;包圍;圍城
signature@	簽名,簽署
silicon@	矽
simplicity@	簡單;單純
skim@	掠過
slang@	slang
slash@	猛砍;亂砍;大幅度削減
slavery@	奴隸身分;奴役
slot@	狹長孔;投幣口;位置;吃角子老虎
slum@	貧民窟;陋巷
smack@	滋味;少許;掌摑;咂嘴(聲);響吻
smallpox@	天花
smother@	窒息狀態
snare@	(捕捉鳥、獸的)陷阱;圈套
sneer@	冷笑;嘲笑
socialism@	社會主義
socialist@	社會主義者
sociology@	社會學
sodium@	鈉
solidarity@	團結一致
solitude@	孤獨;隱居
sovereignty@	統治權;主權;主權國家
span@	礅距;跨度;一段時間
specialty@	專業;專長
spectacular@	奇觀;壯觀
spectrum@	光譜;頻譜
sphere@	球;球體;球形
spike@	牆頭釘;尖鐵;釘鞋;細高跟
spiral@	螺旋(形);盤旋
spire@	尖塔;尖頂
spokesman@	發言人,代言人
spokesperson@	發言人
spokeswoman@	女發言人
sponsor@	發起者;主辦者
spouse@	配偶
sprawl@	伸開四肢的躺臥姿勢;蔓生
squad@	班;小隊;小組
squash@	擠壓;壓碎的東西;南瓜
stability@	穩定;穩定性;安定
stalk@	悄悄的追蹤;莖;柄
stammer@	口吃;結巴
staple@	U形釘;釘書針;日常必需品
stapler@	釘書機
starch@	澱粉
starvation@	飢餓;挨餓
stationery@	文具
stature@	身高;高度
steamer@	汽船;蒸鍋;蒸籠
stimulation@	刺激;興奮;激勵
stimulus@	刺激;刺激品;興奮劑
stock@	(公司的)股票;存貨
stunt@	絕技;噱頭;矮小的人(或樹)
subordinate@	部下;下級職員
subscription@	訂閱費;會費;捐款;署名
substitution@	代替;代替物
succession@	連續;一連串;繼承權
successor@	繼任者;繼承人
suite@	套房;系列
superiority@	優越;優勢;上級
supervision@	管理;監督
supplement@	增補;(書籍的)補遺;附錄
surplus@	過剩;剩餘物;盈餘
suspense@	掛慮;懸疑;暫時停止
suspension@	暫停;中止;停職
swap@	交換;交換的東西
symmetry@	對稱(性)
symptom@	症狀,徵候
synonym@	同義字;同物異名
synthetic@	合成物;合成纖維
tact@	老練;機智;得體
tactic@	戰術;策略;手法
tariff@	關稅;稅率
temperament@	氣質;性情
tempest@	暴風雨;暴風雪;騷動
textile@	紡織品;紡織原料
texture@	(織物的)結構;質地;紋理;肌理
theft@	偷竊,盜竊
therapist@	治療技師或專家
therapy@	治療,療法
thermometer@	溫度計;寒暑錶
threshold@	門檻;開端;起點
thrift@	節儉;繁茂;互助儲蓄銀行
throb@	跳動;悸動;抽動;抽痛
toll@	通行費;長途電話費;傷亡人數;鐘聲
tornado@	龍捲風
trait@	特徵;特點;特性;少許
tranquilizer@	鎮定劑;精神安定劑
transaction@	辦理;處置;執行;交易
transcript@	抄本;謄本;成績報告單
transformation@	變化;轉變;變形;變質
transistor@	電晶體
transit@	運輸;通過;公共交通系統;轉變
transition@	過渡;過渡時期;轉變
transmission@	傳送;傳染;傳播;變速器;播送
transplant@	移植
trauma@	外傷;傷口;(感情方面的)創傷
tread@	踩;踏;樓梯踏板;輪胎面;鞋底
treason@	叛國罪;謀反罪;叛國;背叛
trek@	(長途而辛苦的)旅行或移居
tremor@	震顫;顫抖
trespass@	擅自進入;非法侵入
trigger@	(槍砲的)扳機;觸發器
trophy@	戰利品;獎品
tropic@	回歸線;熱帶
truant@	逃學者;玩忽職守者
truce@	停戰;休戰協定
tuberculosis@	結核病
tumor@	腫瘤;腫塊
turmoil@	騷動;混亂
twilight@	微明;薄暮;暮年;朦朧狀態
tyranny@	暴政;專制;暴虐
ulcer@	潰瘍
ultimate@	最終的事物;終極
underestimate@	低估;估計不足
unemployment@	失業;失業狀態
upbringing@	養育;教養
upgrade@	上坡;升級
uranium@	鈾
urgency@	緊急;迫切;急事
urine@	尿
usher@	(劇場等的)引座員;接待員
utensil@	器皿;用具
utility@	效用;實用;公用事業
utmost@	極限;極度;最大可能
vaccine@	疫苗
validity@	確實;有效性
vanilla@	香草精
variable@	可變物;可變因素
variation@	變化;變異
vendor@	小販
verge@	邊沿;邊緣
version@	譯文;版本
vet@	獸醫; 老兵
veteran@	富有經驗的人;退役軍人
veterinarian@	獸醫
vibration@	顫動;振動;震動
vice@	惡;罪行;惡習
victor@	勝利者
villa@	別墅;(城郊)住宅
vineyard@	葡萄園
vitality@	活力;生命力
vocal@	母音;濁音;聲樂作品
vocation@	行業;天職
vogue@	風行;時髦事物(人物)
vomit@	嘔吐;嘔吐物
wardrobe@	衣櫃;(個人的)全部服裝
warfare@	戰爭;衝突;鬥爭
warranty@	保證書;保單
windshield@	(汽車等的)擋風玻璃
wrench@	猛扭;扳手;痛苦
wrestle@	摔角;角力;搏鬥
Xerox@	複印件
zeal@	熱心;熱誠
