inside@	在…裡面
into@	進入
less@	減去;扣除;差...
like@	像;如
near@	接近
of@	…的，屬於
off@	離去
on@	在…上面
out@	通過...而出
outside@	在外
over@	在…之上
past@	走過
round@	圍繞,環繞;在...附近;大約
since@	由於;自從...之後
than@	比; 超過
till@	直到
to@	到;向
toward@	向;對
towards@	向,朝;面對;將近;大約
under@	在…下面
until@	直到
up@	向...上
with@	跟...在一起;有
after@	在...之後
and@	和；及；而；就
as@	依照;當...時
because@	因為
before@	在...以前;與其...寧可;否則,要不然
but@	但是
either@	或者(和or連用)
for@	因為,由於
if@	如果
nor@	亦不
once@	一旦,一經...便
only@	可是,不過;要不是,若非
or@	或
since@	自...以來;因為
so@	因此
than@	比較
that@	以致
though@	雖然
till@	直到...為止
until@	直到...時
when@	當...時;既然;然而
where@	在...處;到...的地方;...的地方
whether@	是否
while@	當...的時候
yet@	然而
act@	行動,法案
action@	動作
actor@	男演員
actress@	女演員
address@	地址; 演說
adult@	成年人
afternoon@	下午;午後
age@	年齡
agreement@	同意
air@	空氣
airmail@	航空郵件
airplane@	飛機
airport@	飛機場
all@	全體,一切;全部財產
anger@	生氣
animal@	動物
answer@	答案
ant@	螞蟻
ape@	大猩猩
apple@	蘋果
April@	四月
area@	地區;面積
arm@	手臂
army@	軍隊;大群
art@	藝術
August@	八月
aunt@	姨媽;姑媽
auntie@	(aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母
aunty@	(aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母
autumn@	秋季
baby@	嬰兒
back@	背部;後面
bag@	袋子
ball@	球
balloon@	汽球
banana@	香蕉
band@	樂團;樂隊
bank@	銀行;堤;岸
bar@	棒,條;酒吧
barber@	男理髮師
base@	基;底;基部
baseball@	棒球
basket@	籃子
basketball@	籃球
bat@	球棒;蝙蝠
bath@	洗澡
bathroom@	廁所;浴室
beach@	海灘
bear@	熊
beat@	敲打;敲擊聲;心跳聲;滴答聲;拍子
beauty@	美貌;美人
bed@	床
bee@	蜜蜂
bell@	鈴;鐘
best@	最好;最佳;最好
better@	(人或事物)較優者,較好者
bicycle@	腳踏車
bike@	腳踏車
bird@	鳥
birth@	出生;起源
bit@	小片,;少量,一點點;片刻;位元
bite@	咬,叮
black@	黑色;美國黑人
block@	街區
blood@	血
blow@	吹動,吹氣;強風;吹牛
blue@	藍色
boat@	小船
body@	身體
bone@	骨頭
book@	書本
bottom@	底部;屁股
bowl@	碗
box@	箱;盒;匣
boy@	男孩
bread@	麵包
break@	暫停
breakfast@	早餐
bridge@	橋
brother@	兄;弟
brown@	棕色
buck@	雄性動物(鹿、羊或兔等)
bug@	小蟲
building@	建築物
bus@	公車
butter@	奶油
butterfly@	蝴蝶
buy@	購買;便宜貨
bye@	次要的東西;(體育比賽中)輪空
cab@	計程車;出租馬車
cage@	鳥籠;獸籠
cake@	蛋糕
call@	呼叫;請求;通話;(紙牌)叫牌;判決
camel@	駱駝
camera@	照相機
camp@	營地
can@	罐頭
candy@	糖果
cap@	無邊便帽;蓋子
car@	汽車
card@	卡片
care@	看護;保護;照料;管理;關懷;小心
case@	盒子;案件
cat@	貓
catch@	抓住,捕捉;接球;把手;圈套
cause@	原因;理由
cent@	分(錢幣)
center@	中心(點)
chance@	機會
chart@	圖表
chase@	追逐;追擊
check@	支票;買單
chick@	小雞
chicken@	雞;雞肉
chief@	首領;長官
child@	小孩
Christmas@	耶誕節
church@	教堂
city@	都市
class@	階級;班級;上課
clean@	打掃;去垢
climb@	攀登,攀爬
clock@	鐘
close@	結束,終止;(金融)收盤價
cloud@	雲
coast@	海岸
coat@	外套
cocoa@	可可粉;可可樹;可可色
coffee@	咖啡
Coke@	可口可樂
cola@	可樂
cold@	感冒
color@	顏色
common@	公共用地,公有地
cook@	廚師
cookie@	餅乾
cooky@	cookie
cool@	涼爽
cop@	警察
corn@	玉米
cost@	費用;成本
count@	計數;計算
country@	國家;鄉下
course@	課程;科目
cover@	封面
cow@	母牛
cowboy@	牛仔
crow@	鴉,烏鴉
cry@	叫喊;呼叫;(一陣)哭
cub@	幼鯨;牛棚
cup@	杯子
